"time","MLoad.Sa","MLoad.Sb","MLoad.Sc","MLoad.Mpd","MLoad.Mpq","MLoad.Mnd","MLoad.Mnq","MLoad.Mhmd","MLoad.Mhmq","MGrid.Sa","MGrid.Sb","MGrid.Sc","DC_AC1.Sa","DC_AC1.Sb","DC_AC1.Sc","MGrid.Mpd","MGrid.Mpq","MGrid.Mnd","MGrid.Mnq","MGrid.Mhmd","MGrid.Mhmq","DC_AC1.Spd","DC_AC1.Spq","DC_AC1.Snd","DC_AC1.Snq","DC_AC1.Szmd","DC_AC1.Szmq","Va.v"
0.0044,18.9271,14.0448,-15.1885,29.6174,-6.73802,12.3849,-10.016,-5.77939,-5.44111,-1.62765,16.797,-15.1693,20.5547,-2.75216,-0.0191605,18.5274,-3.28775,0.575432,3.237,-8.88841e-13,1.62922e-12,0,-6.73802,12.3849,-10.016,-5.77939,-5.44111,-14.9088
0.0045,17.473,14.9044,-14.0024,29.858,-6.85979,12.6459,-9.94793,-5.90898,-5.42721,-2.35226,17.3016,-14.9493,19.8253,-2.39716,0.946878,18.768,-3.09611,0.769972,2.99884,-9.26216e-13,1.63175e-12,6.17582e-322,-6.85979,12.6459,-9.94793,-5.90898,-5.42721,-21.2698
0.0046,15.9805,15.7632,-12.7883,30.0844,-6.98658,12.899,-9.89087,-6.03984,-5.40816,-3.0892,17.7752,-14.686,19.0697,-2.01203,1.89772,18.9944,-2.91026,0.93403,2.7563,-9.68587e-13,1.63952e-12,3.85816e-320,-6.98658,12.899,-9.89087,-6.03984,-5.40816,-27.6004
0.0047,14.4523,16.6196,-11.5481,30.297,-7.11763,13.1444,-9.84414,-6.17145,-5.38391,-3.83584,18.2166,-14.3808,18.2882,-1.59703,2.8327,19.207,-2.73026,1.06855,2.51247,-1.01359e-12,1.65084e-12,5.14523e-316,-7.11763,13.1444,-9.84414,-6.17145,-5.38391,-33.8919
0.0048,12.8915,17.4718,-10.2836,30.4963,-7.25225,13.382,-9.80711,-6.30333,-5.35442,-4.58957,18.6244,-14.0348,17.4811,-1.15253,3.75124,19.4063,-2.55614,1.17475,2.2702,-1.059e-12,1.65757e-12,5.15175e-316,-7.25225,13.382,-9.80711,-6.30333,-5.35442,-40.1352
0.0049,11.3009,18.3183,-8.9967,30.6826,-7.3898,13.6119,-9.77919,-6.435,-5.31973,-5.34785,18.9973,-13.6495,16.6488,-0.679053,4.6528,19.5926,-2.38793,1.25408,2.03211,-1.10286e-12,1.66945e-12,4.24399e-314,-7.3898,13.6119,-9.77919,-6.435,-5.31973,-46.3215
0.005,9.68351,19.1573,-7.68946,30.8565,-7.52967,13.8342,-9.75979,-6.56604,-5.27986,-6.10819,19.3346,-13.2264,15.7917,-0.177237,5.53693,19.7665,-2.22562,1.30819,1.80056,-1.14887e-12,1.68447e-12,5.29938e-316,-7.52967,13.8342,-9.75979,-6.56604,-5.27986,-52.4419
0.0051,8.0422,19.9874,-6.36382,31.0184,-7.67132,14.049,-9.74837,-6.69601,-5.23491,-6.86818,19.6352,-12.767,14.9104,0.352138,6.40323,19.9284,-2.06919,1.33888,1.57764,-1.19527e-12,1.70035e-12,5.14977e-316,-7.67132,14.049,-9.74837,-6.69601,-5.23491,-58.4878
0.0052,6.3799,20.8068,-5.02179,31.1687,-7.81423,14.2564,-9.74443,-6.82454,-5.18495,-7.62547,19.8986,-12.2731,14.0054,0.908176,7.25134,20.0787,-1.9186,1.3481,1.36515,-1.24323e-12,1.71694e-12,2.4403e-312,-7.81423,14.2564,-9.74443,-6.82454,-5.18495,-64.4506
0.0053,4.69955,21.614,-3.6654,31.3079,-7.95792,14.4564,-9.74747,-6.95123,-5.13012,-8.37779,20.1241,-11.7463,13.0773,1.48986,8.08092,20.2179,-1.7738,1.33789,1.16465,-1.28783e-12,1.73792e-12,5.09582e-316,-7.95792,14.4564,-9.74747,-6.95123,-5.13012,-70.3219
0.0054,3.00405,22.4074,-2.29669,31.4363,-8.10196,14.6492,-9.75702,-7.07576,-5.07057,-9.12295,20.3114,-11.1884,12.127,2.09609,8.89171,20.3463,-1.63473,1.31034,0.977411,-1.34024e-12,1.76535e-12,5.14978e-316,-8.10196,14.6492,-9.75702,-7.07576,-5.07057,-76.0932
0.0055,1.2963,23.1857,-0.917726,31.5545,-8.24593,14.8348,-9.77264,-7.19778,-5.00645,-9.85886,20.46,-10.6012,11.1552,2.72562,9.68345,20.4645,-1.5013,1.26759,0.804435,-1.3816e-12,1.78187e-12,nan,-8.24593,14.8348,-9.77264,-7.19778,-5.00645,-81.7563
0.0056,-0.420797,23.9471,0.469413,31.6629,-8.38947,15.0134,-9.79391,-7.31702,-4.93794,-10.5835,20.57,-9.98648,10.1627,3.37715,10.4559,20.5729,-1.37343,1.21176,0.646478,-1.4263e-12,1.80716e-12,5.09583e-316,-8.38947,15.0134,-9.79391,-7.31702,-4.93794,-87.3033
0.0057,-2.14438,24.6904,1.86265,31.7618,-8.53224,15.185,-9.82042,-7.43319,-4.86524,-11.2949,20.6411,-9.34619,9.15056,4.04929,11.2088,20.6718,-1.25102,1.14499,0.504045,-1.46788e-12,1.83712e-12,5.14978e-316,-8.53224,15.185,-9.82042,-7.43319,-4.86524,-92.7262
0.0058,-3.87157,25.4141,3.25988,31.8516,-8.67392,15.3499,-9.85179,-7.54603,-4.78855,-11.9914,20.6735,-8.68219,8.11979,4.74054,11.9421,20.7616,-1.13398,1.06933,0.377409,-1.51383e-12,1.86747e-12,2.97079e-312,-8.67392,15.3499,-9.85179,-7.54603,-4.78855,-98.0173
0.0059,-5.59954,26.1168,4.65902,31.9329,-8.81424,15.508,-9.88767,-7.65532,-4.7081,-12.671,20.6674,-7.99639,7.07149,5.44936,12.6554,20.8429,-1.02218,0.986792,0.266627,-1.55635e-12,1.89339e-12,5.09583e-316,-8.81424,15.508,-9.88767,-7.65532,-4.7081,-103.169
0.006,-7.32546,26.7971,6.05797,32.0059,-8.95293,15.6595,-9.92769,-7.76086,-4.62409,-13.3323,20.623,-7.2907,6.00685,6.17413,13.3487,20.9159,-0.915515,0.899299,0.17155,-1.58732e-12,1.92408e-12,5.14979e-316,-8.95293,15.6595,-9.92769,-7.76086,-4.62409,-108.174
